TicketKey,File
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Joins.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Select.java
OPENJPA-1185,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Context.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Literal.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Path.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/QueryExpressions.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/SubQ.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Subquery.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Val.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Value.java
OPENJPA-1185,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java
OPENJPA-1185,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaExpressionBuilder.java
OPENJPA-1185,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaQueryImpl.java
OPENJPA-1185,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Joins.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java
OPENJPA-1189,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java
OPENJPA-119,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java
OPENJPA-119,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Broker.java
OPENJPA-119,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
OPENJPA-119,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java
