Iteration,TestRelease,Classifier,FS,Balancing,TrainSize,TestSize,BuggyTrain,BuggyTest,Precision,Recall,F1,AUC,Kappa
6,1_0_3,IBk,None,Oversampling,4451,749,718,134,0.5926,0.7164,0.6486,0.8567,0.5631
6,1_0_3,IBk,None,SMOTE,4451,749,718,134,0.6700,0.5000,0.5726,0.8769,0.4955
6,1_0_3,IBk,CFS,None,4451,749,718,134,0.6700,0.5000,0.5726,0.8767,0.4955
6,1_0_3,IBk,CFS,Undersampling,4451,749,718,134,0.4527,0.8209,0.5836,0.8074,0.4587
6,1_0_3,IBk,CFS,Oversampling,4451,749,718,134,0.5987,0.6791,0.6364,0.8202,0.5510
6,1_0_3,IBk,CFS,SMOTE,4451,749,718,134,0.6700,0.5000,0.5726,0.8768,0.4955
7,1_2_0,RandomForest,None,None,5200,777,852,180,0.8671,0.7611,0.8107,0.9525,0.7583
7,1_2_0,RandomForest,None,Undersampling,5200,777,852,180,0.7056,0.9056,0.7932,0.9473,0.7204
7,1_2_0,RandomForest,None,Oversampling,5200,777,852,180,0.7850,0.8722,0.8263,0.9561,0.7703
7,1_2_0,RandomForest,None,SMOTE,5200,777,852,180,0.8462,0.7944,0.8195,0.9535,0.7673
7,1_2_0,RandomForest,CFS,None,5200,777,852,180,0.8726,0.7611,0.8131,0.9447,0.7616
7,1_2_0,RandomForest,CFS,Undersampling,5200,777,852,180,0.6640,0.9333,0.7760,0.9449,0.6928
7,1_2_0,RandomForest,CFS,Oversampling,5200,777,852,180,0.7828,0.8611,0.8201,0.9485,0.7625
7,1_2_0,RandomForest,CFS,SMOTE,5200,777,852,180,0.8606,0.7889,0.8232,0.9383,0.7729
7,1_2_0,NaiveBayes,None,None,5200,777,852,180,0.6818,0.4167,0.5172,0.8092,0.4143
7,1_2_0,NaiveBayes,None,Undersampling,5200,777,852,180,0.6964,0.4333,0.5342,0.8164,0.4336
7,1_2_0,NaiveBayes,None,Oversampling,5200,777,852,180,0.6818,0.4167,0.5172,0.8075,0.4143
7,1_2_0,NaiveBayes,None,SMOTE,5200,777,852,180,0.6637,0.4167,0.5119,0.8064,0.4058
7,1_2_0,NaiveBayes,CFS,None,5200,777,852,180,0.5825,0.3333,0.4240,0.7468,0.3072
7,1_2_0,NaiveBayes,CFS,Undersampling,5200,777,852,180,0.5810,0.3389,0.4281,0.7402,0.3103
7,1_2_0,NaiveBayes,CFS,Oversampling,5200,777,852,180,0.5741,0.3444,0.4306,0.7486,0.3108
7,1_2_0,NaiveBayes,CFS,SMOTE,5200,777,852,180,0.5514,0.3278,0.4111,0.7499,0.2882
7,1_2_0,IBk,None,None,5200,777,852,180,0.8409,0.8222,0.8315,0.9281,0.7814
7,1_2_0,IBk,None,Undersampling,5200,777,852,180,0.6298,0.9167,0.7466,0.8831,0.6507
7,1_2_0,IBk,None,Oversampling,5200,777,852,180,0.7633,0.8778,0.8165,0.9121,0.7561
7,1_2_0,IBk,None,SMOTE,5200,777,852,180,0.8427,0.8333,0.8380,0.9295,0.7895
7,1_2_0,IBk,CFS,None,5200,777,852,180,0.8315,0.8222,0.8268,0.9216,0.7750
7,1_2_0,IBk,CFS,Undersampling,5200,777,852,180,0.6326,0.9278,0.7523,0.8877,0.6580
7,1_2_0,IBk,CFS,Oversampling,5200,777,852,180,0.7324,0.8667,0.7939,0.9117,0.7248
7,1_2_0,IBk,CFS,SMOTE,5200,777,852,180,0.8343,0.8389,0.8366,0.9230,0.7871
8,2_0_0_M1,RandomForest,None,None,5977,875,1032,270,0.8188,0.4185,0.5539,0.9040,0.4362
8,2_0_0_M1,RandomForest,None,Undersampling,5977,875,1032,270,0.6519,0.7074,0.6785,0.8686,0.5264
8,2_0_0_M1,RandomForest,None,Oversampling,5977,875,1032,270,0.7246,0.6333,0.6759,0.8943,0.5449
8,2_0_0_M1,RandomForest,None,SMOTE,5977,875,1032,270,0.7853,0.4741,0.5912,0.9053,0.4675
8,2_0_0_M1,RandomForest,CFS,None,5977,875,1032,270,0.7984,0.3667,0.5025,0.8959,0.3826
8,2_0_0_M1,RandomForest,CFS,Undersampling,5977,875,1032,270,0.6496,0.6593,0.6544,0.8539,0.4985
8,2_0_0_M1,RandomForest,CFS,Oversampling,5977,875,1032,270,0.7343,0.5630,0.6373,0.8856,0.5047
8,2_0_0_M1,RandomForest,CFS,SMOTE,5977,875,1032,270,0.7733,0.4296,0.5524,0.8854,0.4258
8,2_0_0_M1,NaiveBayes,None,None,5977,875,1032,270,0.6105,0.2148,0.3178,0.6339,0.1873
8,2_0_0_M1,NaiveBayes,None,Undersampling,5977,875,1032,270,0.6224,0.2259,0.3315,0.6366,0.2001
8,2_0_0_M1,NaiveBayes,None,Oversampling,5977,875,1032,270,0.6146,0.2185,0.3224,0.6329,0.1915
8,2_0_0_M1,NaiveBayes,None,SMOTE,5977,875,1032,270,0.5842,0.2185,0.3181,0.6298,0.1804
8,2_0_0_M1,NaiveBayes,CFS,None,5977,875,1032,270,0.5960,0.2185,0.3198,0.6160,0.1848
8,2_0_0_M1,NaiveBayes,CFS,Undersampling,5977,875,1032,270,0.5784,0.2185,0.3172,0.6189,0.1781
8,2_0_0_M1,NaiveBayes,CFS,Oversampling,5977,875,1032,270,0.5833,0.2333,0.3333,0.6167,0.1906
8,2_0_0_M1,NaiveBayes,CFS,SMOTE,5977,875,1032,270,0.5882,0.2222,0.3226,0.6158,0.1846
8,2_0_0_M1,IBk,None,None,5977,875,1032,270,0.7756,0.5889,0.6695,0.8640,0.5495
8,2_0_0_M1,IBk,None,Undersampling,5977,875,1032,270,0.6372,0.7741,0.6990,0.8112,0.5450
8,2_0_0_M1,IBk,None,Oversampling,5977,875,1032,270,0.7356,0.7111,0.7232,0.8330,0.6026
8,2_0_0_M1,IBk,None,SMOTE,5977,875,1032,270,0.7713,0.6370,0.6978,0.8761,0.5807
8,2_0_0_M1,IBk,CFS,None,5977,875,1032,270,0.7792,0.4444,0.5660,0.8447,0.4407
8,2_0_0_M1,IBk,CFS,Undersampling,5977,875,1032,270,0.6250,0.5926,0.6084,0.7688,0.4402
8,2_0_0_M1,IBk,CFS,Oversampling,5977,875,1032,270,0.7304,0.5519,0.6287,0.8236,0.4944
8,2_0_0_M1,IBk,CFS,SMOTE,5977,875,1032,270,0.7571,0.4963,0.5996,0.8531,0.4700
9,1_2_1,RandomForest,None,None,6852,777,1302,193,0.8431,0.4456,0.5831,0.9173,0.4966
9,1_2_1,RandomForest,None,Undersampling,6852,777,1302,193,0.6968,0.7979,0.7440,0.9059,0.6516
9,1_2_1,RandomForest,None,Oversampling,6852,777,1302,193,0.8192,0.7513,0.7838,0.9288,0.7164
9,1_2_1,RandomForest,None,SMOTE,6852,777,1302,193,0.8571,0.5907,0.6994,0.9307,0.6230
9,1_2_1,RandomForest,CFS,None,6852,777,1302,193,0.7317,0.3109,0.4364,0.7999,0.3384
9,1_2_1,RandomForest,CFS,Undersampling,6852,777,1302,193,0.4959,0.6218,0.5517,0.7824,0.3805
9,1_2_1,RandomForest,CFS,Oversampling,6852,777,1302,193,0.6400,0.4145,0.5031,0.8049,0.3826
9,1_2_1,RandomForest,CFS,SMOTE,6852,777,1302,193,0.6667,0.2798,0.3942,0.8036,0.2899
9,1_2_1,NaiveBayes,None,None,6852,777,1302,193,0.4568,0.5751,0.5092,0.7222,0.3212
9,1_2_1,NaiveBayes,None,Undersampling,6852,777,1302,193,0.4317,0.6218,0.5096,0.7199,0.3061
9,1_2_1,NaiveBayes,None,Oversampling,6852,777,1302,193,0.4432,0.6062,0.5120,0.7197,0.3156
9,1_2_1,NaiveBayes,None,SMOTE,6852,777,1302,193,0.4549,0.5751,0.5080,0.7224,0.3192
9,1_2_1,NaiveBayes,CFS,None,6852,777,1302,193,0.4932,0.3782,0.4282,0.7417,0.2710
9,1_2_1,NaiveBayes,CFS,Undersampling,6852,777,1302,193,0.4932,0.3782,0.4282,0.7410,0.2710
9,1_2_1,NaiveBayes,CFS,Oversampling,6852,777,1302,193,0.5000,0.3627,0.4204,0.7415,0.2674
9,1_2_1,NaiveBayes,CFS,SMOTE,6852,777,1302,193,0.4966,0.3834,0.4327,0.7449,0.2761
9,1_2_1,IBk,None,None,6852,777,1302,193,0.5000,0.2228,0.3082,0.5906,0.1832
9,1_2_1,IBk,None,Undersampling,6852,777,1302,193,0.3951,0.4197,0.4070,0.6056,0.2031
9,1_2_1,IBk,None,Oversampling,6852,777,1302,193,0.4610,0.3368,0.3892,0.6092,0.2271
9,1_2_1,IBk,None,SMOTE,6852,777,1302,193,0.4889,0.2280,0.3110,0.5905,0.1817
9,1_2_1,IBk,CFS,None,6852,777,1302,193,0.5897,0.2383,0.3395,0.6042,0.2293
9,1_2_1,IBk,CFS,Undersampling,6852,777,1302,193,0.3864,0.4404,0.4116,0.6021,0.1999
9,1_2_1,IBk,CFS,Oversampling,6852,777,1302,193,0.4476,0.3316,0.3810,0.5661,0.2150
9,1_2_1,IBk,CFS,SMOTE,6852,777,1302,193,0.5909,0.2694,0.3701,0.6157,0.2541
10,2_0_0_M2,RandomForest,None,None,7629,925,1495,126,0.5000,0.7460,0.5987,0.9033,0.5205
10,2_0_0_M2,RandomForest,None,Undersampling,7629,925,1495,126,0.2967,0.9206,0.4487,0.8922,0.3057
10,2_0_0_M2,RandomForest,None,Oversampling,7629,925,1495,126,0.4208,0.8651,0.5662,0.9099,0.4689
10,2_0_0_M2,RandomForest,None,SMOTE,7629,925,1495,126,0.3782,0.8254,0.5187,0.8919,0.4081
