TicketKey,AVs
OPENJPA-740,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-743,1.2.0
OPENJPA-745,1.2.0
OPENJPA-748,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-75,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3
OPENJPA-755,1.2.0
OPENJPA-761,1.1.0;1.0.3;1.2.0
OPENJPA-762,1.2.0
OPENJPA-764,1.2.0
OPENJPA-77,0.9.6
OPENJPA-774,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-777,1.2.0
OPENJPA-789,2.0.0-M2;2.0.0-M3
OPENJPA-795,1.2.0
OPENJPA-797,2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-80,0.9.6
OPENJPA-811,1.2.0;2.0.0-M1
OPENJPA-815,1.2.0
OPENJPA-820,2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-824,1.2.0
OPENJPA-825,2.0.0-M2
OPENJPA-828,0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-83,0.9.6;0.9.7
OPENJPA-835,1.2.0
OPENJPA-836,1.2.0
OPENJPA-838,1.2.0;2.0.0-M1
OPENJPA-844,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-845,1.2.0;2.0.0-M1
OPENJPA-853,1.2.0
OPENJPA-859,2.0.0-M2;2.0.0-M3
OPENJPA-86,0.9.6;0.9.7
OPENJPA-860,1.2.0
OPENJPA-862,1.2.0;2.0.0-M1;1.2.1
OPENJPA-863,1.2.0
OPENJPA-864,1.0.3;1.2.0
OPENJPA-866,1.2.0;2.0.0-M1
OPENJPA-867,1.2.0;2.0.0-M1;1.2.1;2.0.0-M2;2.0.0-M3;1.2.2
OPENJPA-872,1.2.0
OPENJPA-873,1.2.0;2.0.0-M1
OPENJPA-883,1.2.0;2.0.0-M1;1.2.1
OPENJPA-884,1.2.0;2.0.0-M1
OPENJPA-887,2.0.0-M1;1.2.1
OPENJPA-890,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1;2.0.0-M2
OPENJPA-896,1.1.0;1.0.3;1.2.0;2.0.0-M1;1.2.1
OPENJPA-898,1.2.0;2.0.0-M1
OPENJPA-9,0.9.6;0.9.7;1.0.0;1.0.1
OPENJPA-90,0.9.6
OPENJPA-91,0.9.6;0.9.7;1.0.0;1.0.1;1.0.2;1.1.0;1.0.3;1.2.0
OPENJPA-912,1.2.0;2.0.0-M1
