Release,File,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SimpleDriverDataSource.java,5,3,254,180,50.8,78,41,15.6,332,180,66.4,928,278.8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,3,1,692,692,230.66666666666666,3,3,1.0,695,692,231.66666666666666,928,464.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,2,1,493,493,246.5,0,0,0.0,493,493,246.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Unique.java,2,1,53,53,26.5,0,0,0.0,53,53,26.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,3,1,604,601,201.33333333333334,2,2,0.6666666666666666,606,601,202.0,928,484.3333333333333
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,4,2,447,444,111.75,4,2,1.0,451,444,112.75,928,359.5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java,3,2,97,95,32.333333333333336,0,0,0.0,97,95,32.333333333333336,928,457.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java,5,2,859,847,171.8,9,6,1.8,868,847,173.6,928,308.2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractSQLServerDictionary.java,3,2,152,151,50.666666666666664,1,1,0.3333333333333333,153,151,51.0,928,457.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,2,1,93,93,46.5,0,0,0.0,93,93,46.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/CacheDictionary.java,2,1,42,42,21.0,0,0,0.0,42,42,21.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Calendard.java,2,1,35,35,17.5,0,0,0.0,35,35,17.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,3,2,145,144,48.333333333333336,1,1,0.3333333333333333,146,144,48.666666666666664,928,457.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,15,3,3817,3721,254.46666666666667,71,11,4.733333333333333,3888,3721,259.2,928,117.06666666666666
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory.java,3,2,594,592,198.0,1,1,0.3333333333333333,595,592,198.33333333333334,928,472.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DerbyDictionary.java,2,1,93,93,46.5,0,0,0.0,93,93,46.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/EmpressDictionary.java,2,1,171,171,85.5,0,0,0.0,171,171,85.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,2,1,58,58,29.0,0,0,0.0,58,58,29.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,2,1,159,159,79.5,0,0,0.0,159,159,79.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,8,3,328,309,41.0,15,10,1.875,343,309,42.875,928,199.125
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,2,1,253,253,126.5,0,0,0.0,253,253,126.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InterbaseDictionary.java,2,1,115,115,57.5,0,0,0.0,115,115,57.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JDataStoreDictionary.java,2,1,112,112,56.0,0,0,0.0,112,112,56.0,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java,3,2,191,151,63.666666666666664,1,1,0.3333333333333333,192,151,64.0,928,465.6666666666667
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,2,1,403,403,201.5,0,0,0.0,403,403,201.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSyntaxes.java,2,1,39,39,19.5,0,0,0.0,39,39,19.5,928,686.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Joins.java,4,2,81,71,20.25,4,4,1.0,85,71,21.25,928,351.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,8,2,950,900,118.75,29,16,3.625,979,900,122.375,928,195.25
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MergedResult.java,4,2,539,534,134.75,6,5,1.5,545,534,136.25,928,382.75
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,3,2,168,166,56.0,1,1,0.3333333333333333,169,166,56.333333333333336,928,472.0
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,9,3,1038,1019,115.33333333333333,15,8,1.6666666666666667,1053,1019,117.0,928,158.0
