Release,File,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NSmells,NR,NAuth,LOC_added_sum,LOC_added_max,LOC_added_avg,LOC_deleted_sum,LOC_deleted_max,LOC_deleted_avg,Churn_sum,Churn_max,Churn_avg,ChgSetSize_max,ChgSetSize_avg,Buggy
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/util/Serialization.java,7,8,1,7,6,5,0,6,3,1.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,66,4,0,1,2,0,0,0,4,0,4,2,0,3,0,51,1,0,8,6,1,327,165,54.5,164,154,27.333333333333332,491,319,81.83333333333333,928,556.6666666666666,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractPCResultObjectProvider.java,10,11,1,10,16,1,0,9,99,0.8,0.0,0.0,15,0,12,0,3,0,15,4,0,0,1,0,0,0,1,0,1,0,0,45,4,0,1,0,0,0,1,6,0,6,1,0,0,0,111,1025,0,3,6,2,345,169,57.5,176,154,29.333333333333332,521,323,86.83333333333333,928,480.6666666666667,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,7,10,3,7,106,15,0,64,316,0.8964286,0.0,0.0,28,3,21,7,0,0,21,0,0,0,10,1,0,10,0,0,0,0,16,334,15,11,36,2,5,10,14,67,10,39,8,0,5,0,275,1,0,66,9,1,287,182,31.88888888888889,349,273,38.77777777777778,636,455,70.66666666666667,928,411.44444444444446,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JDataStoreDictionary.java,6,8,2,6,9,2,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,3,0,1,24,6,20,0,1,1,0,0,0,86,1,0,3,2,1,112,112,56.0,0,0,0.0,112,112,56.0,928,686.0,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedLobFieldStrategy.java,19,24,5,19,39,3,4,65,253,0.0,0.0,0.0,23,0,18,0,5,0,23,4,0,0,0,0,0,0,0,0,0,0,0,131,14,0,5,5,0,2,18,21,0,16,3,0,0,0,128,1024,0,17,4,2,265,260,66.25,7,6,1.75,272,260,68.0,928,432.75,No
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/IndexOf.java,3,4,1,3,6,2,0,9,4,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,2,0,0,2,0,0,2,0,0,30,2,0,0,0,1,0,2,7,0,6,1,0,0,0,41,0,0,2,5,2,143,69,28.6,75,64,15.0,218,133,43.6,928,552.8,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java,8,10,2,8,20,1,0,16,1,0.7,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,5,0,0,59,8,2,5,1,2,0,6,14,2,11,2,0,0,0,65,0,0,7,3,1,129,129,43.0,1,1,0.3333333333333333,130,129,43.333333333333336,928,464.6666666666667,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java,9,11,2,9,16,1,0,16,9,0.6590909,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,4,0,0,49,7,0,2,1,1,0,0,5,0,4,1,0,0,0,66,1,0,6,4,2,130,127,32.5,4,3,1.0,134,127,33.5,928,395.5,No
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,21,24,3,21,90,2,2,78,301,0.8755761,0.0,0.0,31,3,20,3,8,0,28,0,0,0,14,5,4,10,0,0,6,0,4,332,25,3,18,17,4,37,19,91,7,64,8,0,1,0,248,1,5,49,6,2,705,625,117.5,73,65,12.166666666666666,778,625,129.66666666666666,928,243.33333333333334,Yes
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Args.java,6,9,3,6,12,2,0,10,1,0.2857143,0.0,0.0,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,1,0,0,32,4,3,0,0,5,0,4,8,0,6,1,0,0,0,43,0,0,10,5,2,171,84,34.2,91,77,18.2,262,161,52.4,928,552.8,No
0.9.6,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/FileValue.java,2,4,2,2,9,2,0,4,15,0.5714286,0.0,0.0,7,0,4,0,3,0,7,0,0,0,1,0,0,1,0,0,0,0,0,26,3,0,1,0,1,0,0,2,0,2,1,0,0,0,20,1,0,1,4,1,24,12,6.0,25,18,6.25,49,30,12.25,928,605.25,No
